Transaction Number,Transaction Date,Transaction Type,Transaction Description,Debit Amount,Credit Amount,Balance,Category,Location City,Location Country
1,25/07/2022,BP,SAVE THE CHANGE,3.11,,541.43,Savings,Nottingham,UK
2,25/07/2022,DEB,LIDL GB  NOTTINGHA,15.02,,544.54,Groceries,Nottingham,UK
3,25/07/2022,DEB,NON-GBP PURCH FEE,0.5,,559.56,Others,Nottingham,UK
4,25/07/2022,DEB,NON-GBP TRANS FEE,0.37,,560.06,Others,Nottingham,UK
5,25/07/2022,DEB,TRAVELIUM LLC,12.59,,560.43,,,
6,25/07/2022,DEB,Audible UK,7.99,,573.02,Entertainment,Nottingham,UK
7,25/07/2022,FPO,MISS D WU,25.0,,581.01,Services,Nottingham,UK
8,25/07/2022,DEB,SAINSBURYS S/MKTS,35.57,,606.01,Groceries,Nottingham,UK
9,22/07/2022,DEB,LIDL GB  NOTTINGHA,18.21,,641.58,Groceries,Nottingham,UK
10,22/07/2022,DEB,Amazon.co.uk*VK6IN,13.51,,659.79,Amazon,Nottingham,UK
11,22/07/2022,FPO,MR J DOME,175.0,,673.3,Services,Nottingham,UK
12,21/07/2022,FPO,MISS D WU,35.0,,848.3,Services,Nottingham,UK
13,20/07/2022,FPO,TRADING212UK,200.0,,883.3,Investment,Nottingham,UK
14,20/07/2022,FPI,SHEILA SMITH,,390.0,1083.3,Supplementary Income,Nottingham,UK
15,20/07/2022,BP,SAVE THE CHANGE,0.65,,693.3,Savings,Nottingham,UK
16,19/07/2022,DEB,THE TERRACE CAFE M,31.35,,693.95,Dine Out,,
17,19/07/2022,BP,SAVE THE CHANGE,1.6,,725.3,Savings,Nottingham,UK
18,18/07/2022,DEB,The Corinthian,7.4,,726.9,Dine Out,Nottingham,UK
19,18/07/2022,DEB,The Corinthian,4.6,,734.3,Dine Out,Nottingham,UK
20,18/07/2022,DEB,TIGERMILK EVENTS,4.5,,738.9,Entertainment,Plymouth,UK
21,18/07/2022,DEB,UBER   *TRIP,11.9,,743.4,Travel,Plymouth,UK
22,18/07/2022,DD,VIRGIN MEDIA PYMTS,56.25,,755.3,Bills,Nottingham,UK
23,18/07/2022,DD,O2,17.95,,811.55,Other Shopping,Nottingham,UK
24,18/07/2022,BP,SAVE THE CHANGE,2.4,,829.5,Savings,Nottingham,UK
25,18/07/2022,CPT,LNK COOPERATIVE PL,40.0,,831.9,Cash,Plymouth,UK
26,18/07/2022,DEB,COSMIC KITCHEN LIM,75.8,,871.9,Home Improvement,Nottingham,UK
27,18/07/2022,DEB,TESCO STORE 3033,20.0,,947.7,Groceries,Plymouth,UK
28,18/07/2022,DEB,CROWNE PLAZA,10.0,,967.7,Hotels,Plymouth,UK
29,18/07/2022,DEB,EAST MIDS RAILWAY,213.0,,977.7,Travel,Plymouth,UK
30,18/07/2022,DEB,AMZNMktplace,26.99,,1190.7,Amazon,Nottingham,UK
31,18/07/2022,DEB,TESCO STORE 3033,22.1,,1217.69,Groceries,Plymouth,UK
32,18/07/2022,DEB,SumUp  *Taxi first,8.0,,1239.79,Travel,Plymouth,UK
33,15/07/2022,DEB,Amazon.co.uk*ST7ZE,42.01,,1247.79,Amazon,Nottingham,UK
34,15/07/2022,DEB,ASPIRE CAFE,2.7,,1289.8,Dine Out,Nottingham,UK
35,15/07/2022,FPI,WU,,27.0,1292.5,Supplementary Income,Nottingham,UK
36,15/07/2022,BP,SAVE THE CHANGE,1.43,,1265.5,Savings,Nottingham,UK
37,14/07/2022,DEB,UBER   *TRIP,5.66,,1266.93,Travel,Nottingham,UK
38,14/07/2022,DEB,UBER   *TRIP,5.38,,1272.59,Travel,Nottingham,UK
39,14/07/2022,DEB,MEDINA CONTINENTAL,4.53,,1277.97,Dine Out,Nottingham,UK
40,14/07/2022,BP,SAVE THE CHANGE,1.01,,1282.5,Savings,Nottingham,UK
41,13/07/2022,DEB,HPI INSTANT INK UK,4.49,,1283.51,Other Shopping,Nottingham,UK
42,13/07/2022,DEB,CAFE TERRAZZO,3.5,,1288.0,Dine Out,Nottingham,UK
43,13/07/2022,BP,SAVE THE CHANGE,0.08,,1291.5,Savings,Nottingham,UK
44,2022-12-07 00:00:00,FPO,CAPEWELL WINDOW CL,30.0,,1291.58,Home Improvement,Nottingham,UK
45,2022-12-07 00:00:00,DEB,AMZNMktplace,12.99,,1321.58,Amazon,Nottingham,UK
46,2022-12-07 00:00:00,DEB,AMZNMktplace,9.93,,1334.57,Amazon,Nottingham,UK
47,2022-12-07 00:00:00,BP,SAVE THE CHANGE,0.28,,1344.5,Savings,Nottingham,UK
48,2022-11-07 00:00:00,DEB,LIDL GB  NOTTINGHA,47.84,,1344.78,Groceries,Nottingham,UK
49,2022-11-07 00:00:00,DEB,UBER   *TRIP,4.88,,1392.62,Travel,Nottingham,UK
50,2022-11-07 00:00:00,BP,SAVE THE CHANGE,1.16,,1397.5,Savings,Nottingham,UK
51,2022-11-07 00:00:00,DEB,UBER   *TRIP,9.69,,1398.66,Travel,Nottingham,UK
52,2022-11-07 00:00:00,DEB,UBER   *TRIP,7.48,,1408.35,Travel,Nottingham,UK
53,2022-11-07 00:00:00,DEB,Subway 26377 Corne,6.89,,1415.83,Dine Out,Nottingham,UK
54,2022-11-07 00:00:00,DEB,UBER   *TRIP,1.0,,1422.72,Travel,Nottingham,UK
55,2022-08-07 00:00:00,FPI,Zoe Zappa,,325.0,1423.72,Supplementary Income,Nottingham,UK
56,2022-08-07 00:00:00,DEB,DOSA N CHUTNEY,34.78,,1098.72,Dine Out,Nottingham,UK
57,2022-08-07 00:00:00,BGC,UNIV OF NOTTINGHAM,,351.08,1133.5,Travel Reimbursement,Nottingham,UK
58,2022-07-07 00:00:00,BP,SAVE THE CHANGE,0.77,,782.42,Savings,Nottingham,UK
59,2022-06-07 00:00:00,DEB,Hotel on Booking.c,196.24,,783.19,Hotels,Nottingham,UK
60,2022-06-07 00:00:00,DEB,AMZNMktplace,6.99,,979.43,Amazon,Nottingham,UK
61,2022-06-07 00:00:00,BP,SAVE THE CHANGE,0.26,,986.42,Savings,Nottingham,UK
62,2022-05-07 00:00:00,DEB,AMZNMktplace,15.99,,986.68,Amazon,Nottingham,UK
63,2022-05-07 00:00:00,DEB,AMZNMktplace,2.75,,1002.67,Amazon,Nottingham,UK
64,2022-04-07 00:00:00,DEP,CLUB LLOYDS WAIVED,,3.0,1005.42,Supplementary Income,Nottingham,UK
65,2022-04-07 00:00:00,PAY,CLUB LLOYDS FEE,3.0,,1002.42,Bills,Nottingham,UK
66,2022-04-07 00:00:00,FPI,O CONNOR CAROL,,10.0,1005.42,Supplementary Income,Nottingham,UK
67,2022-04-07 00:00:00,BP,SAVE THE CHANGE,0.63,,995.42,Savings,Nottingham,UK
68,2022-04-07 00:00:00,FPO,PAULINA PIPPEN,280.0,,996.05,Safety Deposit Return,,
69,2022-04-07 00:00:00,DEB,AMZNMktplace,27.99,,1276.05,Amazon,Nottingham,UK
70,2022-01-07 00:00:00,,INTEREST (GROSS),,0.56,1304.04,Interest,Nottingham,UK
71,2022-01-07 00:00:00,DEB,TROPICAL SUMMER FE,240.38,,1303.48,Entertainment,Plymouth,UK
72,2022-01-07 00:00:00,DEB,SumUp  *LTP,6.0,,1543.86,Services,Nottingham,UK
73,2022-01-07 00:00:00,DD,BARCLAYS UK MTGES,981.71,,1549.86,Bills,Nottingham,UK
74,2022-01-07 00:00:00,DD,NOTTM CITY COUNC,112.0,,2531.57,Bills,Nottingham,UK
75,2022-01-07 00:00:00,DD,OCTOPUS ENERGY,100.0,,2643.57,Bills,Nottingham,UK
76,2022-01-07 00:00:00,DD,SEVERN TRENT WATER,43.95,,2743.57,Bills,Nottingham,UK
77,2022-01-07 00:00:00,SO,ESAVINGS ACCOUNT,300.0,,2787.52,Savings,Nottingham,UK
78,2022-01-07 00:00:00,BP,SAVE THE CHANGE,0.17,,3087.52,Savings,Nottingham,UK
79,2022-01-07 00:00:00,BGC,UNIV OF NOTTINGHAM,,44.32,3087.69,Supplementary Income,Nottingham,UK
80,30/06/2022,DEB,LIDL GB  NOTTINGHA,8.83,,3043.37,Groceries,Nottingham,UK
81,29/06/2022,DEB,Amazon.co.uk*2Y0SX,229.0,,3052.2,Amazon,Nottingham,UK
82,29/06/2022,FPO,TRADING212UK,1000.0,,3281.2,Investment,Nottingham,UK
83,29/06/2022,DD,THE GYM LTD,19.99,,4281.2,Fitness,Nottingham,UK
84,29/06/2022,BP,SAVE THE CHANGE,0.21,,4301.19,Savings,Nottingham,UK
85,29/06/2022,BGC,UNIV OF NOTTINGHAM,,3748.52,4301.4,Paycheck,Nottingham,UK
86,28/06/2022,DEB,LIDL GB  NOTTINGHA,6.79,,552.88,Groceries,Nottingham,UK
87,28/06/2022,BP,SAVE THE CHANGE,2.0,,559.67,Savings,Nottingham,UK
88,27/06/2022,CPT,LNK TESCO HK R NOT,50.0,,561.67,Cash,nottingham,UK
89,27/06/2022,DEB,LIDL GB NOTTINGHAM,22.09,,611.67,Groceries,Nottingham,UK
90,27/06/2022,DEB,POUNDLAND LTD 1718,14.25,,633.76,Groceries,Nottingham,UK
91,27/06/2022,DEB,UBER   *TRIP,5.78,,648.01,Travel,,
92,27/06/2022,DEB,IZ *LTD GROUP LIMI,4.93,,653.79,Home Improvement,Nottingham,UK
93,27/06/2022,DEB,GREGGS PLC,3.95,,658.72,Dine Out,,
94,27/06/2022,BP,SAVE THE CHANGE,3.26,,662.67,Savings,Nottingham,UK
95,27/06/2022,DEB,HEAVENLY DESSERTS,11.9,,665.93,Dine Out,Nottingham,UK
96,27/06/2022,DEB,LIDL GB  NOTTINGHA,13.06,,677.83,Groceries,Nottingham,UK
97,24/06/2022,DEB,PIE MINISTER,41.2,,690.89,Dine Out,Nottingham,UK
98,24/06/2022,DEB,BELL INN,14.09,,732.09,Dine Out,Nottingham,UK
99,24/06/2022,DEB,CAFE TERRAZZO,3.5,,746.18,Dine Out,Nottingham,UK
100,24/06/2022,DEB,Audible UK,7.99,,749.68,Entertainment,Nottingham,UK
101,24/06/2022,DEB,PIE MINISTER,,8.17,757.67,Supplementary Income,Nottingham,UK
102,23/06/2022,BP,SAVE THE CHANGE,1.26,,749.5,Savings,Nottingham,UK
103,22/06/2022,DEB,DOMINO'S PIZZA,9.99,,750.76,Dine Out,,
104,22/06/2022,DEB,LIDL GB NOTTINGHAM,5.25,,760.75,Groceries,Nottingham,UK
105,22/06/2022,DEB,CAFE TERRAZZO,3.5,,766.0,Dine Out,Nottingham,UK
106,22/06/2022,BP,SAVE THE CHANGE,1.09,,769.5,Savings,Nottingham,UK
107,21/06/2022,DEB,UBER   *TRIP,6.59,,770.59,Travel,,
108,21/06/2022,DEB,NON-GBP TRANS FEE,0.06,,777.18,Others,Nottingham,UK
109,21/06/2022,DEB,ROMA TERMINI SELF,2.32,,777.24,Travel,Roma,Italy
110,21/06/2022,BP,SAVE THE CHANGE,0.92,,779.56,Savings,Nottingham,UK
111,20/06/2022,DEB,DOSA N CHUTNEY,41.2,,780.48,Dine Out,Nottingham,UK
112,20/06/2022,FPO,PAULINA PIPPEN,4.52,,821.68,Food Shopping,,
113,20/06/2022,FPO,MISS D WU,11.0,,826.2,Services,Nottingham,UK
114,20/06/2022,FPO,TRADING212UK,200.0,,837.2,Investment,Nottingham,UK
115,20/06/2022,FPI,SHEILA SMITH,,390.0,1037.2,Supplementary Income,Nottingham,UK
116,20/06/2022,DEB,NON-GBP TRANS FEE,0.44,,647.2,Others,Nottingham,UK
117,20/06/2022,DEB,CHEF EXPRESS S.P.A,14.88,,647.64,Dine Out,Roma,Italy
118,20/06/2022,BP,SAVE THE CHANGE,1.72,,662.52,Savings,Nottingham,UK
119,20/06/2022,DEB,NON-GBP TRANS FEE,0.57,,664.24,Others,Nottingham,UK
120,20/06/2022,DEB,MS* CASASANTASOFIA,19.27,,664.81,Services,Nottingham,UK
121,20/06/2022,DEB,NON-GBP TRANS FEE,0.37,,684.08,Others,Nottingham,UK
122,20/06/2022,DEB,Pizza Forum,12.47,,684.45,Dine Out,Roma,Italy
123,20/06/2022,DEB,AMZNMktplace,23.0,,696.92,Amazon,Nottingham,UK
124,20/06/2022,DEB,NON-GBP TRANS FEE,0.46,,719.92,Others,Nottingham,UK
125,20/06/2022,DEB,BUDDY ITALIAN REST,15.54,,720.38,Dine Out,Roma,Italy
126,17/06/2022,DD,VIRGIN MEDIA PYMTS,56.25,,735.92,Bills,Nottingham,UK
127,17/06/2022,BP,SAVE THE CHANGE,1.26,,792.17,Savings,Nottingham,UK
128,16/06/2022,DEB,NON-GBP TRANS FEE,0.76,,793.43,Others,Nottingham,UK
129,16/06/2022,DEB,UBER   *TRIP,25.57,,794.19,Travel,Roma,Italy
130,16/06/2022,DEB,NON-GBP TRANS FEE,0.57,,819.76,Others,Nottingham,UK
131,16/06/2022,DEB,UBER *TRIP HELP.UB,19.17,,820.33,Travel,Roma,Italy
132,16/06/2022,DD,O2,18.01,,839.5,Other Shopping,Nottingham,UK
133,15/06/2022,BP,SAVE THE CHANGE,0.51,,857.51,Savings,Nottingham,UK
134,14/06/2022,DEB,NON-GBP TRANS FEE,5.11,,858.02,Others,Nottingham,UK
135,14/06/2022,DEB,POSTE ITALIANE,171.0,,863.13,Others,Nottingham,UK
136,14/06/2022,DEB,HPI INSTANT INK UK,4.49,,1034.13,Other Shopping,Nottingham,UK
137,14/06/2022,BP,SAVE THE CHANGE,0.51,,1038.62,Savings,Nottingham,UK
138,13/06/2022,DEB,EAST MIDS RAILWAY,56.7,,1039.13,Travel,Roma,Italy
139,13/06/2022,DEB,WH SMITH,8.79,,1095.83,Other Shopping,Nottingham,UK
140,13/06/2022,BP,SAVE THE CHANGE,4.3,,1104.62,Savings,Nottingham,UK
141,13/06/2022,DEB,ASIANA HYPERMARKET,60.83,,1108.92,Groceries,Nottingham,UK
142,13/06/2022,DEB,LIDL GB NOTTINGHAM,34.12,,1169.75,Groceries,Nottingham,UK
143,13/06/2022,DEB,UBER* TRIP,7.01,,1203.87,Travel,,
144,13/06/2022,CPT,LNK NOTTINGHAM RAI,30.0,,1210.88,Cash,Nottingham,UK
145,13/06/2022,DEB,UBER   *TRIP,7.51,,1240.88,Travel,,
146,13/06/2022,DEB,AMZNMktplace,5.55,,1248.39,Amazon,Nottingham,UK
147,13/06/2022,FPO,MISS D WU,29.0,,1253.94,Services,Nottingham,UK
148,13/06/2022,DEB,DOMINO'S PIZZA - H,,9.99,1282.94,Supplementary Income,Nottingham,UK
149,2022-10-06 00:00:00,FPO,MISS D WU,16.0,,1272.95,Services,Nottingham,UK
150,2022-10-06 00:00:00,DEB,LIDL GB  NOTTINGHA,11.43,,1288.95,Groceries,Nottingham,UK
151,2022-10-06 00:00:00,DEB,CAFE TERRAZZO,2.25,,1300.38,Dine Out,Nottingham,UK
152,2022-09-06 00:00:00,BP,SAVE THE CHANGE,0.97,,1302.63,Savings,Nottingham,UK
